Enter an integer k for which our Kempner sets are k-free: 4
Enter a positive integer modulus b: 25
Enter estimation parameters, or * for pre-computed parameters ([0.1413, 1.1524, 1.547]): *
Enter a threshold (e.g. 4.2) to determine printed output: 3.8
Enter a root for the search space (e.g. [0, 1, 2]) [or * for the root [0]]: *
Enter an upper bound for the size of allowable digit sets [or * to ignore]: *
Enter a maximal number of deviations from a greedy search [or * to ignore]: *
Searching for k-free sets mod b...

[25, 3.80189, [0, 1, 2, 4, 5, 7, 8, 9, 14]]
[25, 4.02512, [0, 1, 2, 4, 5, 7, 8, 13, 15, 17]]
[25, 3.98043, [0, 1, 2, 4, 5, 7, 8, 14, 16, 22]]
[25, 3.98813, [0, 1, 2, 4, 5, 7, 8, 14, 17, 19]]
[25, 3.95985, [0, 1, 2, 4, 5, 7, 8, 16, 18, 20]]
[25, 3.93932, [0, 1, 2, 4, 5, 7, 8, 16, 20, 22]]
[25, 3.90275, [0, 1, 2, 4, 5, 7, 9, 19, 20, 21]]
[25, 3.99686, [0, 1, 2, 4, 5, 7, 11, 12, 14, 16]]
[25, 3.93285, [0, 1, 2, 4, 5, 7, 11, 14, 17, 19]]
[25, 3.86012, [0, 1, 2, 4, 5, 7, 11, 19, 21, 22]]
[25, 3.89163, [0, 1, 2, 4, 5, 7, 12, 16, 18, 20]]
[25, 3.83645, [0, 1, 2, 4, 5, 7, 15, 16, 21, 22]]
[25, 3.81733, [0, 1, 2, 4, 5, 7, 15, 19, 21, 22]]
[25, 3.80426, [0, 1, 2, 4, 5, 7, 16, 20, 21, 22]]
[25, 4.03127, [0, 1, 2, 4, 5, 8, 9, 10, 14, 16]]
[25, 3.84042, [0, 1, 2, 4, 5, 8, 13, 17, 19, 20]]
[25, 3.83407, [0, 1, 2, 4, 5, 8, 13, 18, 19, 20]]
[25, 3.97589, [0, 1, 2, 4, 5, 9, 10, 11, 14, 16]]
[25, 3.94649, [0, 1, 2, 4, 5, 9, 10, 11, 14, 21]]
[25, 3.91692, [0, 1, 2, 4, 5, 9, 10, 12, 16, 21]]
[25, 3.89578, [0, 1, 2, 4, 5, 9, 10, 14, 16, 21]]
[25, 3.94762, [0, 1, 2, 4, 5, 9, 11, 12, 14, 16]]
[25, 3.92249, [0, 1, 2, 4, 5, 10, 11, 12, 14, 17]]
[25, 3.84984, [0, 1, 2, 4, 5, 10, 11, 12, 21, 22]]
[25, 3.86087, [0, 1, 2, 4, 5, 10, 11, 13, 17, 22]]
[25, 3.86825, [0, 1, 2, 4, 7, 8, 11, 13, 15, 16]]
[25, 3.83152, [0, 1, 2, 4, 7, 8, 11, 14, 16, 19]]
[25, 3.80154, [0, 1, 2, 4, 7, 9, 11, 12, 19, 21]]
[25, 3.83435, [0, 1, 2, 4, 8, 9, 10, 13, 15, 16]]
[25, 3.80113, [0, 1, 2, 4, 8, 10, 11, 13, 15, 16]]
[25, 3.93834, [0, 1, 2, 5, 6, 7, 9, 10, 12, 21]]
[25, 3.8816, [0, 1, 2, 5, 6, 7, 9, 10, 19, 21]]
[25, 3.84818, [0, 1, 2, 5, 6, 7, 9, 12, 20, 21]]
[25, 3.91605, [0, 1, 2, 5, 6, 7, 10, 11, 13, 17]]
[25, 3.88932, [0, 1, 2, 5, 6, 7, 10, 11, 13, 22]]
[25, 3.80638, [0, 1, 2, 5, 6, 7, 11, 12, 20, 23]]
[25, 3.82138, [0, 1, 2, 5, 6, 7, 11, 14, 17, 19]]
[25, 3.85443, [0, 1, 2, 5, 6, 8, 9, 10, 19, 21]]
[25, 3.89105, [0, 1, 2, 5, 6, 8, 9, 12, 14, 16]]
[25, 3.81159, [0, 1, 2, 5, 6, 9, 11, 12, 14, 20]]
[25, 3.82229, [0, 1, 2, 6, 7, 8, 10, 11, 13, 15]]
[25, 3.85899, [0, 1, 3, 4, 5, 8, 9, 10, 14, 16]]
[25, 3.82162, [0, 1, 3, 4, 5, 8, 9, 10, 14, 23]]
[25, 3.80352, [0, 1, 3, 4, 5, 8, 9, 11, 16, 20]]
[25, 3.83569, [0, 1, 3, 4, 5, 8, 10, 11, 13, 16]]
[25, 3.84931, [0, 1, 3, 4, 6, 7, 8, 11, 13, 17]]
[25, 3.8044, [0, 1, 3, 4, 6, 7, 8, 11, 17, 19]]
[25, 3.80691, [0, 1, 3, 4, 6, 7, 8, 13, 15, 17]]

Search completed in 0 hours, 0 minutes, and 0.047 seconds.  Enter a string to quit.
