Enter an integer k for which our Kempner sets are k-free: 4
Enter a positive integer modulus b: 32
Enter estimation parameters, or * for pre-computed parameters ([0.1259, 1.1348, 1.508]): *
Enter a threshold (e.g. 4.2) to determine printed output: 3.6
Enter a root for the search space (e.g. [0, 1, 2]) [or * for the root [0]]: *
Enter an upper bound for the size of allowable digit sets [or * to ignore]: *
Enter a maximal number of deviations from a greedy search [or * to ignore]: *
Searching for k-free sets mod b...

[32, 3.67865, [0, 1, 2, 4, 5, 7, 8, 9, 14, 15]]
[32, 3.64427, [0, 1, 2, 4, 5, 7, 8, 9, 14, 22]]
[32, 3.63192, [0, 1, 2, 4, 5, 7, 8, 9, 14, 26]]
[32, 3.62206, [0, 1, 2, 4, 5, 7, 8, 9, 15, 27]]
[32, 3.61474, [0, 1, 2, 4, 5, 7, 8, 9, 19, 22]]
[32, 3.63043, [0, 1, 2, 4, 5, 7, 8, 13, 14, 15]]
[32, 3.73303, [0, 1, 2, 4, 5, 7, 8, 14, 19, 22, 29]]
[32, 3.80397, [0, 1, 2, 4, 5, 7, 9, 12, 14, 15, 27]]
[32, 3.75511, [0, 1, 2, 4, 5, 7, 9, 12, 14, 26, 27]]
[32, 3.67507, [0, 1, 2, 4, 5, 7, 9, 14, 26, 27, 28]]
[32, 3.6598, [0, 1, 2, 4, 5, 7, 9, 19, 22, 26, 28]]
[32, 3.64424, [0, 1, 2, 4, 5, 7, 9, 19, 26, 27, 28]]
[32, 3.60165, [0, 1, 2, 4, 5, 7, 11, 12, 13, 15]]
[32, 3.76226, [0, 1, 2, 4, 5, 7, 11, 13, 14, 15, 28]]
[32, 3.67162, [0, 1, 2, 4, 5, 7, 11, 14, 19, 26, 29]]
[32, 3.64094, [0, 1, 2, 4, 5, 7, 11, 14, 26, 28, 29]]
[32, 3.63189, [0, 1, 2, 4, 5, 7, 11, 19, 24, 25, 26]]
[32, 3.62067, [0, 1, 2, 4, 5, 7, 11, 19, 25, 26, 28]]
[32, 3.61014, [0, 1, 2, 4, 5, 7, 11, 19, 26, 28, 29]]
[32, 3.68897, [0, 1, 2, 4, 5, 7, 13, 14, 15, 22, 28]]
[32, 3.6976, [0, 1, 2, 4, 5, 10, 11, 12, 14, 19, 25]]
[32, 3.68706, [0, 1, 2, 4, 5, 10, 11, 12, 14, 19, 29]]
[32, 3.66539, [0, 1, 2, 4, 7, 8, 9, 11, 14, 26, 29]]
[32, 3.66171, [0, 1, 2, 4, 7, 9, 11, 12, 14, 15, 26]]
[32, 3.62223, [0, 1, 2, 4, 7, 9, 11, 12, 15, 21, 26]]
[32, 3.61964, [0, 1, 2, 4, 8, 9, 10, 13, 15, 19, 23]]
[32, 3.60771, [0, 1, 2, 4, 8, 9, 10, 13, 15, 19, 27]]
[32, 3.63726, [0, 1, 2, 4, 8, 10, 11, 13, 14, 15, 19]]
[32, 3.7478, [0, 1, 2, 5, 6, 7, 9, 10, 12, 19, 20]]
[32, 3.68115, [0, 1, 2, 5, 6, 7, 9, 12, 14, 19, 27]]
[32, 3.63101, [0, 1, 2, 5, 6, 7, 9, 12, 19, 24, 27]]
[32, 3.71853, [0, 1, 2, 5, 6, 7, 10, 11, 12, 19, 20]]
[32, 3.68119, [0, 1, 2, 5, 6, 7, 10, 11, 12, 24, 25]]
[32, 3.70722, [0, 1, 2, 5, 6, 7, 11, 12, 13, 15, 20]]
[32, 3.64881, [0, 1, 2, 5, 6, 7, 11, 12, 13, 20, 30]]
[32, 3.63268, [0, 1, 2, 5, 6, 7, 11, 12, 15, 20, 30]]
[32, 3.61479, [0, 1, 2, 5, 6, 7, 11, 12, 15, 25, 30]]
[32, 3.63203, [0, 1, 2, 5, 6, 9, 11, 12, 14, 19, 20]]
[32, 3.63556, [0, 1, 2, 6, 7, 8, 10, 11, 13, 15, 20]]
[32, 3.61771, [0, 1, 2, 6, 7, 8, 10, 11, 13, 15, 25]]
[32, 3.6051, [0, 1, 3, 4, 5, 8, 9, 11, 15, 18, 30]]

Search completed in 0 hours, 0 minutes, and 0.062 seconds.  Enter a string to quit.
