Enter an integer k for which our Kempner sets are k-free: 4
Enter a positive integer modulus b: 54
Enter estimation parameters, or * for pre-computed parameters ([0.1019, 1.1073, 1.4415]): *
Enter a threshold (e.g. 4.2) to determine printed output: 3.95
Enter a root for the search space (e.g. [0, 1, 2]) [or * for the root [0]]: *
Enter an upper bound for the size of allowable digit sets [or * to ignore]: *
Enter a maximal number of deviations from a greedy search [or * to ignore]: *
Searching for k-free sets mod b...

[54, 3.96603, [0, 1, 2, 4, 5, 7, 8, 9, 14, 15, 17, 18, 23, 24, 26, 33]]
[54, 3.95785, [0, 1, 2, 4, 5, 7, 8, 9, 14, 15, 17, 18, 23, 24, 30, 33]]
[54, 3.95231, [0, 1, 2, 4, 5, 7, 8, 9, 14, 15, 17, 18, 23, 24, 30, 37]]
[54, 4.03372, [0, 1, 2, 4, 5, 7, 8, 9, 14, 15, 17, 18, 23, 33, 38, 40, 43]]
[54, 4.02803, [0, 1, 2, 4, 5, 7, 8, 9, 14, 15, 17, 18, 23, 37, 38, 40, 43]]
[54, 4.06961, [0, 1, 2, 4, 5, 7, 8, 9, 15, 16, 18, 19, 20, 25, 26, 33, 41]]
[54, 4.04262, [0, 1, 2, 4, 5, 7, 8, 9, 15, 16, 18, 19, 20, 25, 33, 41, 44]]
[54, 4.03117, [0, 1, 2, 4, 5, 7, 8, 9, 15, 16, 18, 19, 25, 26, 33, 38, 41]]
[54, 4.0042, [0, 1, 2, 4, 5, 7, 8, 9, 15, 16, 18, 19, 25, 33, 38, 41, 44]]
[54, 4.00642, [0, 1, 2, 4, 5, 7, 8, 9, 15, 17, 18, 19, 23, 33, 38, 40, 43]]
[54, 4.0431, [0, 1, 2, 4, 5, 7, 8, 9, 15, 18, 19, 20, 23, 24, 25, 33, 44]]
[54, 4.03624, [0, 1, 2, 4, 5, 7, 8, 9, 15, 18, 19, 20, 23, 24, 26, 33, 49]]
[54, 4.02785, [0, 1, 2, 4, 5, 7, 8, 9, 15, 18, 19, 20, 23, 24, 30, 33, 49]]
[54, 4.02428, [0, 1, 2, 4, 5, 7, 8, 9, 15, 19, 20, 21, 23, 24, 26, 33, 49]]
[54, 4.02029, [0, 1, 2, 4, 5, 7, 8, 9, 15, 19, 20, 21, 23, 24, 30, 33, 44]]
[54, 4.0159, [0, 1, 2, 4, 5, 7, 8, 9, 15, 19, 20, 21, 23, 24, 30, 33, 49]]
[54, 3.97561, [0, 1, 2, 4, 5, 7, 8, 9, 15, 20, 21, 23, 24, 25, 37, 44, 45]]
[54, 3.98025, [0, 1, 2, 4, 5, 7, 8, 9, 18, 20, 21, 23, 24, 25, 30, 33, 49]]
[54, 4.01212, [0, 1, 2, 4, 5, 7, 8, 13, 14, 15, 17, 23, 24, 25, 30, 33, 36]]
[54, 4.00007, [0, 1, 2, 4, 5, 7, 8, 13, 14, 15, 17, 23, 24, 25, 33, 36, 38]]
[54, 4.01534, [0, 1, 2, 4, 5, 7, 8, 13, 14, 16, 17, 18, 22, 25, 30, 33, 51]]
[54, 3.98236, [0, 1, 2, 4, 5, 7, 8, 13, 14, 16, 17, 18, 22, 30, 33, 48, 51]]
[54, 3.9839, [0, 1, 2, 4, 5, 7, 8, 13, 14, 16, 17, 18, 25, 30, 33, 38, 51]]
[54, 3.99699, [0, 1, 2, 4, 5, 7, 8, 13, 14, 16, 17, 22, 23, 25, 30, 33, 51]]
[54, 3.96402, [0, 1, 2, 4, 5, 7, 8, 13, 14, 16, 17, 22, 23, 30, 33, 48, 51]]
[54, 4.09304, [0, 1, 2, 4, 5, 7, 8, 13, 14, 16, 17, 23, 25, 30, 33, 36, 38, 51]]
[54, 3.96813, [0, 1, 2, 4, 5, 7, 8, 13, 14, 16, 17, 23, 25, 30, 33, 36, 51]]
[54, 3.96556, [0, 1, 2, 4, 5, 7, 8, 13, 14, 16, 17, 23, 25, 30, 33, 38, 51]]
[54, 3.9612, [0, 1, 2, 4, 5, 7, 8, 13, 14, 16, 17, 23, 25, 30, 36, 38, 51]]
[54, 3.95609, [0, 1, 2, 4, 5, 7, 8, 13, 14, 16, 17, 23, 25, 33, 36, 38, 51]]
[54, 4.00383, [0, 1, 2, 4, 5, 7, 8, 13, 15, 16, 20, 21, 23, 25, 26, 33, 36]]
[54, 3.968, [0, 1, 2, 4, 5, 7, 8, 13, 15, 16, 20, 21, 25, 26, 33, 36, 45]]
[54, 3.96573, [0, 1, 2, 4, 5, 7, 8, 13, 16, 17, 20, 22, 23, 25, 30, 33, 51]]
[54, 3.95291, [0, 1, 2, 4, 5, 7, 8, 14, 15, 16, 18, 19, 23, 33, 38, 40, 49]]
[54, 4.02125, [0, 1, 2, 4, 5, 7, 8, 14, 15, 17, 18, 19, 23, 24, 25, 30, 33]]
[54, 3.98133, [0, 1, 2, 4, 5, 7, 8, 14, 15, 17, 18, 19, 23, 25, 33, 38, 40]]
[54, 3.95292, [0, 1, 2, 4, 5, 7, 8, 14, 15, 17, 18, 19, 23, 33, 38, 40, 43]]
[54, 3.97711, [0, 1, 2, 4, 5, 7, 8, 14, 15, 17, 19, 23, 24, 25, 30, 33, 36]]
[54, 3.96507, [0, 1, 2, 4, 5, 7, 8, 14, 15, 17, 19, 23, 24, 25, 33, 36, 38]]
[54, 3.95068, [0, 1, 2, 4, 5, 7, 8, 14, 15, 17, 19, 23, 24, 25, 36, 38, 45]]
[54, 3.9915, [0, 1, 2, 4, 5, 7, 8, 14, 15, 17, 23, 25, 36, 37, 38, 40, 45, 51]]
[54, 3.96635, [0, 1, 2, 4, 5, 7, 8, 14, 16, 17, 18, 22, 23, 25, 30, 33, 51]]
[54, 4.00573, [0, 1, 2, 4, 5, 7, 9, 12, 14, 15, 16, 22, 24, 25, 26, 33, 50]]
[54, 3.99133, [0, 1, 2, 4, 5, 7, 9, 12, 14, 15, 16, 22, 24, 25, 26, 45, 50]]
[54, 3.99735, [0, 1, 2, 4, 5, 7, 9, 12, 14, 15, 16, 22, 24, 25, 30, 33, 50]]
[54, 3.99729, [0, 1, 2, 4, 5, 7, 9, 12, 14, 15, 20, 22, 23, 24, 30, 33, 37]]
[54, 3.97971, [0, 1, 2, 4, 5, 7, 9, 12, 14, 15, 20, 22, 23, 24, 33, 37, 43]]
