Enter an integer k for which our Kempner sets are k-free: 4
Enter a positive integer modulus b: 56
Enter estimation parameters, or * for pre-computed parameters ([0.101, 1.1069, 1.4417]): *
Enter a threshold (e.g. 4.2) to determine printed output: 3.9
Enter a root for the search space (e.g. [0, 1, 2]) [or * for the root [0]]: *
Enter an upper bound for the size of allowable digit sets [or * to ignore]: *
Enter a maximal number of deviations from a greedy search [or * to ignore]: *
Searching for k-free sets mod b...

[56, 3.90995, [0, 1, 2, 4, 5, 7, 8, 9, 14, 15, 17, 18, 23, 24, 26, 39]]
[56, 3.94941, [0, 1, 2, 4, 5, 7, 8, 9, 14, 16, 17, 18, 31, 38, 39, 40, 43]]
[56, 3.92888, [0, 1, 2, 4, 5, 7, 8, 9, 14, 17, 18, 23, 24, 38, 39, 43, 48]]
[56, 3.90242, [0, 1, 2, 4, 5, 7, 8, 9, 15, 16, 17, 19, 20, 26, 27, 34]]
[56, 3.90697, [0, 1, 2, 4, 5, 7, 8, 9, 15, 16, 18, 19, 20, 25, 26, 31]]
[56, 3.99547, [0, 1, 2, 4, 5, 7, 8, 9, 15, 17, 18, 19, 23, 24, 26, 34, 48]]
[56, 3.98901, [0, 1, 2, 4, 5, 7, 8, 9, 15, 17, 18, 19, 23, 24, 26, 39, 48]]
[56, 3.98274, [0, 1, 2, 4, 5, 7, 8, 9, 15, 17, 19, 20, 24, 26, 27, 34, 42]]
[56, 3.95687, [0, 1, 2, 4, 5, 7, 8, 9, 15, 17, 19, 20, 24, 26, 34, 42, 46]]
[56, 3.93537, [0, 1, 2, 4, 5, 7, 8, 9, 15, 17, 19, 24, 26, 27, 34, 42, 48]]
[56, 3.91794, [0, 1, 2, 4, 5, 7, 8, 9, 15, 17, 19, 24, 26, 27, 42, 48, 51]]
[56, 3.92936, [0, 1, 2, 4, 5, 7, 8, 9, 15, 17, 19, 24, 26, 31, 34, 42, 46]]
[56, 3.9342, [0, 1, 2, 4, 5, 7, 8, 9, 15, 17, 21, 23, 24, 26, 34, 46, 48]]
[56, 3.93759, [0, 1, 2, 4, 5, 7, 8, 9, 15, 17, 21, 23, 24, 26, 38, 39, 46]]
[56, 3.92775, [0, 1, 2, 4, 5, 7, 8, 9, 15, 17, 21, 23, 24, 26, 39, 46, 48]]
[56, 3.91991, [0, 1, 2, 4, 5, 7, 8, 9, 15, 17, 21, 23, 24, 26, 46, 47, 48]]
[56, 3.9971, [0, 1, 2, 4, 5, 7, 8, 9, 15, 18, 19, 20, 24, 25, 26, 31, 34]]
[56, 3.9439, [0, 1, 2, 4, 5, 7, 8, 9, 15, 18, 19, 23, 24, 26, 34, 39, 48]]
[56, 3.97258, [0, 1, 2, 4, 5, 7, 8, 9, 15, 19, 20, 21, 23, 24, 26, 34, 46]]
