Enter an integer k for which our Kempner sets are k-free: 4
Enter a positive integer modulus b: 60
Enter estimation parameters, or * for pre-computed parameters ([0.0983, 1.1038, 1.4321]): *
Enter a threshold (e.g. 4.2) to determine printed output: 4.05
Enter a root for the search space (e.g. [0, 1, 2]) [or * for the root [0]]: *
Enter an upper bound for the size of allowable digit sets [or * to ignore]: *
Enter a maximal number of deviations from a greedy search [or * to ignore]: *
Searching for k-free sets mod b...

[60, 4.07582, [0, 1, 2, 4, 5, 7, 8, 9, 14, 15, 17, 18, 23, 24, 26, 28, 29, 36]]
[60, 4.05879, [0, 1, 2, 4, 5, 7, 8, 9, 14, 15, 17, 18, 23, 24, 26, 28, 29, 55]]
[60, 4.05507, [0, 1, 2, 4, 5, 7, 8, 9, 15, 16, 17, 19, 20, 26, 27, 28, 33, 36]]
[60, 4.0617, [0, 1, 2, 4, 5, 7, 8, 9, 15, 16, 18, 19, 20, 25, 26, 28, 29, 36]]
[60, 4.05498, [0, 1, 2, 4, 5, 7, 8, 9, 15, 16, 18, 19, 20, 25, 26, 28, 33, 36]]
[60, 4.05821, [0, 1, 2, 4, 5, 7, 8, 9, 15, 16, 18, 19, 21, 25, 26, 28, 29, 36]]
[60, 4.05148, [0, 1, 2, 4, 5, 7, 8, 9, 15, 16, 18, 19, 21, 25, 26, 28, 33, 36]]
[60, 4.05437, [0, 1, 2, 4, 5, 7, 8, 9, 15, 16, 18, 20, 21, 25, 26, 28, 29, 36]]
[60, 4.09265, [0, 1, 2, 4, 5, 7, 8, 9, 15, 16, 19, 20, 25, 27, 29, 36, 41, 44, 51]]
[60, 4.15098, [0, 1, 2, 4, 5, 7, 8, 9, 15, 17, 18, 19, 23, 24, 26, 28, 29, 36, 55]]
[60, 4.12013, [0, 1, 2, 4, 5, 7, 8, 9, 15, 17, 18, 20, 21, 26, 28, 29, 36, 46, 55]]
[60, 4.12576, [0, 1, 2, 4, 5, 7, 8, 9, 15, 17, 19, 20, 24, 26, 27, 28, 33, 36, 55]]
[60, 4.08733, [0, 1, 2, 4, 5, 7, 8, 9, 15, 17, 19, 20, 24, 26, 28, 29, 51, 52, 55]]
[60, 4.10045, [0, 1, 2, 4, 5, 7, 8, 9, 15, 17, 19, 20, 24, 27, 28, 29, 36, 51, 55]]
[60, 4.05412, [0, 1, 2, 4, 5, 7, 8, 9, 15, 17, 19, 20, 26, 28, 29, 46, 51, 52, 55]]
[60, 4.08092, [0, 1, 2, 4, 5, 7, 8, 9, 15, 17, 19, 23, 24, 26, 28, 29, 50, 51, 52]]
[60, 4.11925, [0, 1, 2, 4, 5, 7, 8, 9, 15, 19, 20, 21, 23, 24, 26, 28, 33, 36, 55]]
[60, 4.10386, [0, 1, 2, 4, 5, 7, 8, 9, 15, 19, 20, 21, 23, 24, 26, 28, 33, 52, 55]]
[60, 4.09789, [0, 1, 2, 4, 5, 7, 8, 9, 17, 19, 20, 21, 24, 26, 27, 28, 33, 36, 55]]
