Enter an integer k for which our Kempner sets are k-free: 6
Enter a positive integer modulus b: 21
Enter estimation parameters, or * for pre-computed parameters ([0.1548, 1.1666, 1.5803]): *
Enter a threshold (e.g. 4.2) to determine printed output: 5.6
Enter a root for the search space (e.g. [0, 1, 2]) [or * for the root [0]]: *
Enter an upper bound for the size of allowable digit sets [or * to ignore]: *
Enter a maximal number of deviations from a greedy search [or * to ignore]: *
Searching for k-free sets mod b...

[21, 5.60689, [0, 1, 2, 3, 4, 6, 7, 8, 9, 11, 12]]
[21, 6.20806, [0, 1, 2, 3, 4, 6, 7, 9, 10, 11, 13, 15]]
[21, 5.87649, [0, 1, 2, 3, 4, 6, 7, 13, 15, 16, 17, 18]]
[21, 5.8495, [0, 1, 2, 3, 4, 6, 8, 13, 14, 16, 17, 18]]
[21, 5.99564, [0, 1, 2, 3, 4, 7, 8, 9, 10, 12, 18, 19]]
[21, 5.98261, [0, 1, 2, 3, 4, 7, 8, 9, 11, 12, 17, 19]]
[21, 6.10319, [0, 1, 2, 3, 5, 6, 7, 8, 10, 11, 13, 19]]
[21, 6.04317, [0, 1, 2, 3, 5, 6, 7, 8, 10, 11, 18, 19]]
[21, 6.05277, [0, 1, 2, 3, 5, 6, 7, 8, 10, 12, 16, 18]]
[21, 5.96722, [0, 1, 2, 3, 5, 6, 7, 8, 10, 16, 18, 19]]
[21, 5.99387, [0, 1, 2, 3, 5, 6, 7, 8, 11, 13, 17, 19]]
[21, 6.00638, [0, 1, 2, 3, 5, 6, 7, 9, 10, 13, 15, 19]]
[21, 5.96646, [0, 1, 2, 3, 5, 6, 7, 10, 12, 13, 15, 16]]
[21, 5.8567, [0, 1, 2, 3, 5, 6, 7, 11, 13, 15, 17, 18]]
[21, 5.81614, [0, 1, 2, 3, 5, 6, 7, 11, 13, 17, 18, 19]]
[21, 5.76281, [0, 1, 2, 3, 5, 6, 7, 13, 15, 16, 18, 19]]
[21, 6.08426, [0, 1, 2, 3, 5, 6, 8, 9, 10, 11, 13, 14]]
[21, 6.03033, [0, 1, 2, 3, 5, 6, 8, 9, 10, 11, 13, 19]]
[21, 5.97045, [0, 1, 2, 3, 5, 6, 8, 9, 10, 11, 18, 19]]
[21, 5.8615, [0, 1, 2, 3, 5, 6, 8, 9, 11, 17, 18, 19]]
[21, 5.77087, [0, 1, 2, 3, 5, 6, 8, 12, 14, 16, 17, 18]]
[21, 5.68595, [0, 1, 2, 3, 5, 6, 8, 14, 16, 17, 18, 19]]
[21, 5.938, [0, 1, 2, 3, 5, 6, 9, 10, 11, 13, 14, 15]]
[21, 5.6843, [0, 1, 2, 3, 5, 6, 11, 13, 14, 15, 17, 18]]
[21, 5.60865, [0, 1, 2, 3, 5, 7, 11, 13, 15, 16, 17, 18]]
[21, 5.66065, [0, 1, 2, 3, 5, 9, 10, 11, 13, 14, 15, 19]]
[21, 5.89113, [0, 1, 2, 3, 6, 7, 8, 9, 10, 12, 13, 19]]
[21, 5.80177, [0, 1, 2, 3, 6, 7, 8, 9, 11, 13, 17, 19]]
[21, 5.70685, [0, 1, 2, 3, 6, 7, 8, 10, 12, 16, 18, 19]]
[21, 5.73319, [0, 1, 2, 3, 6, 7, 9, 10, 11, 13, 18, 19]]
[21, 5.62495, [0, 1, 2, 3, 6, 7, 9, 11, 13, 17, 18, 19]]
[21, 5.64902, [0, 1, 2, 3, 6, 7, 10, 11, 13, 15, 16, 18]]
[21, 5.63825, [0, 1, 2, 3, 6, 8, 9, 11, 13, 14, 17, 18]]
[21, 5.9146, [0, 1, 2, 4, 5, 6, 7, 9, 10, 11, 15, 17]]
[21, 5.94526, [0, 1, 2, 4, 5, 6, 7, 9, 10, 12, 13, 15]]
[21, 5.74249, [0, 1, 2, 4, 5, 6, 7, 9, 13, 15, 18, 19]]
[21, 5.82926, [0, 1, 2, 4, 5, 6, 7, 10, 11, 13, 15, 17]]
[21, 5.70275, [0, 1, 2, 4, 5, 6, 7, 12, 13, 15, 16, 18]]
[21, 5.79197, [0, 1, 2, 4, 5, 6, 9, 10, 11, 13, 14, 15]]
[21, 5.77271, [0, 1, 2, 4, 5, 6, 9, 10, 12, 13, 14, 15]]
[21, 5.65719, [0, 1, 2, 4, 5, 6, 10, 11, 13, 14, 15, 17]]
[21, 5.63799, [0, 1, 2, 4, 5, 6, 10, 12, 13, 14, 15, 17]]
[21, 5.6264, [0, 1, 2, 4, 5, 6, 10, 12, 13, 14, 16, 17]]
[21, 5.78286, [0, 1, 2, 4, 5, 7, 8, 9, 10, 11, 17, 19]]
[21, 5.66059, [0, 1, 2, 4, 5, 8, 9, 10, 11, 13, 14, 19]]
[21, 5.64298, [0, 1, 3, 4, 5, 6, 7, 10, 11, 12, 13, 15]]
[21, 5.68378, [0, 1, 3, 4, 5, 6, 8, 9, 10, 11, 13, 14]]
[21, 5.63135, [0, 1, 3, 4, 5, 6, 8, 9, 10, 11, 13, 19]]
[21, 5.64243, [0, 1, 3, 4, 5, 6, 8, 9, 11, 12, 13, 14]]

Search completed in 0 hours, 0 minutes, and 0.045 seconds.  Enter a string to quit.
