Enter an integer k for which our Kempner sets are k-free: 6
Enter a positive integer modulus b: 34
Enter estimation parameters, or * for pre-computed parameters ([0.1226, 1.1308, 1.499]): *
Enter a threshold (e.g. 4.2) to determine printed output: 5.3
Enter a root for the search space (e.g. [0, 1, 2]) [or * for the root [0]]: *
Enter an upper bound for the size of allowable digit sets [or * to ignore]: *
Enter a maximal number of deviations from a greedy search [or * to ignore]: *
Searching for k-free sets mod b...

[34, 5.32033, [0, 1, 2, 3, 4, 6, 7, 8, 9, 11, 12, 13, 14, 16, 22]]
[34, 5.30175, [0, 1, 2, 3, 4, 6, 7, 8, 9, 11, 12, 13, 14, 16, 27]]
[34, 5.57565, [0, 1, 2, 3, 4, 6, 7, 8, 9, 11, 13, 14, 15, 16, 27, 29]]
[34, 5.48163, [0, 1, 2, 3, 4, 6, 7, 8, 9, 11, 14, 15, 16, 27, 29, 30]]
[34, 5.42159, [0, 1, 2, 3, 4, 6, 7, 8, 9, 11, 15, 16, 22, 27, 30, 31]]
[34, 5.39586, [0, 1, 2, 3, 4, 6, 7, 8, 9, 11, 15, 16, 27, 29, 30, 31]]
[34, 5.35096, [0, 1, 2, 3, 4, 6, 7, 8, 9, 11, 16, 22, 27, 29, 30, 31]]
[34, 5.46084, [0, 1, 2, 3, 4, 6, 7, 8, 9, 13, 14, 15, 16, 27, 28, 29]]
[34, 5.36703, [0, 1, 2, 3, 4, 6, 7, 8, 9, 14, 15, 16, 27, 28, 29, 30]]
[34, 5.38569, [0, 1, 2, 3, 4, 6, 7, 8, 11, 13, 14, 16, 22, 26, 27, 29]]
[34, 5.50164, [0, 1, 2, 3, 4, 6, 7, 9, 10, 11, 13, 14, 15, 22, 25, 29]]
[34, 5.40777, [0, 1, 2, 3, 4, 6, 7, 9, 10, 11, 14, 15, 22, 25, 29, 30]]
[34, 5.32214, [0, 1, 2, 3, 4, 6, 7, 9, 10, 11, 15, 22, 25, 29, 30, 31]]
[34, 5.387, [0, 1, 2, 3, 4, 6, 7, 9, 10, 13, 14, 15, 22, 25, 28, 29]]
