Enter an integer k for which our Kempner sets are k-free: 6
Enter a positive integer modulus b: 37
Enter estimation parameters, or * for pre-computed parameters ([0.1182, 1.1275, 1.487]): *
Enter a threshold (e.g. 4.2) to determine printed output: 6.8
Enter a root for the search space (e.g. [0, 1, 2]) [or * for the root [0]]: *
Enter an upper bound for the size of allowable digit sets [or * to ignore]: *
Enter a maximal number of deviations from a greedy search [or * to ignore]: *
Searching for k-free sets mod b...

[37, 6.84368, [0, 1, 2, 3, 4, 6, 7, 8, 9, 11, 12, 13, 14, 16, 17, 18, 19, 21, 22, 25]]
[37, 6.81957, [0, 1, 2, 3, 4, 6, 7, 8, 9, 11, 12, 13, 14, 16, 17, 18, 19, 21, 22, 32]]
[37, 6.8386, [0, 1, 2, 3, 4, 6, 7, 8, 9, 11, 12, 13, 14, 16, 17, 18, 19, 21, 23, 25]]
[37, 6.83065, [0, 1, 2, 3, 4, 6, 7, 8, 9, 11, 12, 13, 14, 16, 17, 18, 19, 21, 23, 27]]
[37, 6.83751, [0, 1, 2, 3, 4, 6, 7, 8, 9, 11, 12, 13, 14, 16, 17, 18, 19, 22, 23, 24]]
[37, 6.83311, [0, 1, 2, 3, 4, 6, 7, 8, 9, 11, 12, 13, 14, 16, 17, 18, 19, 22, 23, 25]]
[37, 6.82901, [0, 1, 2, 3, 4, 6, 7, 8, 9, 11, 12, 13, 14, 16, 17, 18, 19, 22, 23, 26]]
[37, 6.80834, [0, 1, 2, 3, 4, 6, 7, 8, 9, 11, 12, 13, 14, 16, 17, 18, 19, 22, 26, 28]]
[37, 6.81537, [0, 1, 2, 3, 4, 6, 7, 8, 9, 11, 12, 13, 14, 16, 17, 18, 19, 23, 24, 27]]
[37, 7.10215, [0, 1, 2, 3, 4, 6, 7, 8, 9, 11, 12, 13, 14, 19, 20, 23, 24, 27, 28, 30, 31]]
[37, 6.88388, [0, 1, 2, 3, 4, 6, 7, 8, 9, 11, 13, 15, 20, 24, 25, 27, 28, 30, 31, 32, 33]]
[37, 6.85043, [0, 1, 2, 3, 4, 6, 7, 8, 9, 15, 16, 17, 18, 20, 21, 26, 27, 29, 30, 31, 32]]
[37, 7.03441, [0, 1, 2, 3, 4, 6, 7, 9, 10, 11, 12, 13, 17, 18, 19, 21, 23, 27, 29, 31, 33]]
[37, 6.96735, [0, 1, 2, 3, 4, 6, 7, 9, 10, 11, 12, 13, 17, 19, 21, 23, 27, 29, 31, 32, 33]]
[37, 6.96841, [0, 1, 2, 3, 4, 6, 7, 9, 10, 11, 12, 16, 17, 18, 20, 22, 26, 28, 30, 31, 32]]
[37, 6.86255, [0, 1, 2, 3, 4, 6, 7, 9, 10, 15, 16, 17, 18, 19, 21, 22, 25, 26, 27, 29, 31]]
[37, 6.96896, [0, 1, 2, 3, 4, 6, 7, 9, 11, 12, 13, 14, 16, 17, 18, 20, 27, 28, 30, 31, 35]]
[37, 6.93163, [0, 1, 2, 3, 4, 6, 7, 9, 11, 13, 14, 15, 16, 18, 20, 22, 23, 25, 28, 31, 35]]
[37, 6.91468, [0, 1, 2, 3, 4, 6, 7, 9, 11, 13, 14, 16, 17, 18, 19, 22, 23, 26, 28, 31, 35]]
[37, 6.80256, [0, 1, 2, 3, 4, 6, 7, 9, 11, 13, 15, 18, 20, 22, 23, 24, 25, 27, 28, 30, 31]]
