Enter an integer k for which our Kempner sets are k-free: 6
Enter a positive integer modulus b: 38
Enter estimation parameters, or * for pre-computed parameters ([0.1164, 1.1256, 1.4798]): *
Enter a threshold (e.g. 4.2) to determine printed output: 5.45
Enter a root for the search space (e.g. [0, 1, 2]) [or * for the root [0]]: *
Enter an upper bound for the size of allowable digit sets [or * to ignore]: *
Enter a maximal number of deviations from a greedy search [or * to ignore]: *
Searching for k-free sets mod b...

[38, 5.56489, [0, 1, 2, 3, 4, 6, 7, 8, 9, 11, 12, 13, 14, 16, 17, 18, 24]]
[38, 5.54894, [0, 1, 2, 3, 4, 6, 7, 8, 9, 11, 12, 13, 14, 16, 17, 18, 29]]
[38, 5.52026, [0, 1, 2, 3, 4, 6, 7, 8, 9, 11, 12, 13, 14, 16, 17, 24, 29]]
[38, 5.47996, [0, 1, 2, 3, 4, 6, 7, 8, 9, 11, 12, 13, 16, 17, 18, 24, 33]]
[38, 5.46403, [0, 1, 2, 3, 4, 6, 7, 8, 9, 11, 12, 13, 16, 17, 18, 29, 33]]
[38, 5.47958, [0, 1, 2, 3, 4, 6, 7, 8, 9, 11, 12, 14, 16, 17, 18, 24, 29]]
[38, 5.45613, [0, 1, 2, 3, 4, 6, 7, 8, 9, 11, 12, 14, 16, 17, 18, 29, 32]]
[38, 5.46196, [0, 1, 2, 3, 4, 6, 7, 8, 9, 11, 13, 14, 15, 16, 18, 29, 31]]
[38, 5.57876, [0, 1, 2, 3, 4, 6, 7, 8, 9, 11, 13, 17, 18, 24, 31, 33, 34, 35]]
[38, 5.71116, [0, 1, 2, 3, 4, 6, 7, 8, 9, 11, 14, 15, 16, 17, 18, 29, 31, 32]]
[38, 5.62217, [0, 1, 2, 3, 4, 6, 7, 8, 9, 11, 15, 16, 17, 18, 29, 31, 32, 33]]
[38, 5.61426, [0, 1, 2, 3, 4, 6, 7, 8, 9, 13, 14, 15, 17, 18, 29, 30, 31, 35]]
[38, 5.69038, [0, 1, 2, 3, 4, 6, 7, 8, 11, 12, 13, 14, 15, 17, 18, 28, 29, 35]]
[38, 5.5834, [0, 1, 2, 3, 4, 6, 7, 8, 11, 13, 14, 15, 17, 18, 28, 29, 31, 35]]
[38, 5.50505, [0, 1, 2, 3, 4, 6, 7, 8, 11, 13, 16, 17, 18, 24, 28, 31, 33, 34]]
[38, 5.46509, [0, 1, 2, 3, 4, 6, 7, 8, 13, 14, 15, 17, 18, 28, 29, 30, 31, 35]]
[38, 5.69821, [0, 1, 2, 3, 4, 6, 7, 9, 10, 11, 12, 14, 16, 17, 18, 27, 32, 34]]
[38, 5.60926, [0, 1, 2, 3, 4, 6, 7, 9, 10, 11, 12, 16, 17, 18, 27, 32, 33, 34]]
[38, 5.48738, [0, 1, 2, 3, 4, 6, 7, 9, 10, 11, 13, 18, 24, 27, 31, 33, 34, 35]]
[38, 5.67298, [0, 1, 2, 3, 4, 6, 7, 9, 10, 11, 14, 15, 16, 17, 18, 27, 31, 32]]
[38, 5.59122, [0, 1, 2, 3, 4, 6, 7, 9, 10, 11, 14, 16, 17, 18, 27, 31, 32, 34]]
[38, 5.58407, [0, 1, 2, 3, 4, 6, 7, 9, 10, 11, 15, 16, 17, 18, 27, 31, 32, 33]]
[38, 5.50244, [0, 1, 2, 3, 4, 6, 7, 9, 10, 11, 16, 17, 18, 27, 31, 32, 33, 34]]
[38, 5.59819, [0, 1, 2, 3, 4, 6, 7, 9, 10, 13, 14, 15, 17, 18, 24, 27, 30, 35]]
[38, 5.59075, [0, 1, 2, 3, 4, 6, 7, 9, 11, 12, 13, 16, 17, 18, 24, 27, 33, 34]]
[38, 5.5902, [0, 1, 2, 3, 4, 6, 7, 10, 11, 12, 13, 15, 17, 18, 24, 27, 28, 35]]
[38, 5.57622, [0, 1, 2, 3, 4, 6, 8, 9, 11, 12, 13, 16, 17, 18, 24, 26, 29, 33]]
[38, 5.56652, [0, 1, 2, 3, 4, 6, 8, 9, 11, 13, 14, 15, 17, 18, 24, 26, 29, 31]]
[38, 5.4704, [0, 1, 2, 3, 4, 6, 8, 9, 11, 13, 14, 17, 18, 24, 26, 31, 34, 35]]
[38, 5.4538, [0, 1, 2, 3, 4, 6, 8, 9, 11, 13, 14, 17, 18, 26, 29, 31, 34, 35]]
